Date,BXMSM,SPTR,SPX,PUTSM,CLL*,BXYSM,VIX¬ ,VXO,BXMD ,BFLY ,CLLZ ,CMBO ,CNDR ,PPUT 
Sep-96,288.05,817.74,632.92,293.8,248.2,319.62,15.1,16.04,372.25,260.76,283.51,349.71,286.38,252.94
Oct-96,291.87,830.39,641.49,297.31,251.35,324.24,15.45,16.45,377.63,263.12,286.51,354.37,289.15,256.12
Nov-96,295.86,845.34,651.81,301.01,255.05,329.49,15.81,16.91,383.7,264.72,290.21,359.51,292.06,259.95
Dec-96,299.92,863.38,664.45,304.81,259.52,335.07,16.27,17.46,390.14,264.95,294.39,364.87,294.14,264.64
Jan-97,303.55,878.54,674.85,308.72,263.25,340.24,16.97,18.11,396.01,266.05,297.9,369.89,296.83,268.41
Feb-97,308.16,896.52,687.36,313.22,267.5,346.75,17.55,18.74,403.74,267.96,302.66,376.03,300.31,272.8
Mar-97,313.09,914.54,699.89,317.91,271.77,353.89,17.89,19.16,412.44,270.05,308.04,382.69,304.52,277.21
Apr-97,317.18,928.33,709.19,321.9,275.02,359.78,18.16,19.55,419.56,271.78,312.28,388.26,308.6,280.41
May-97,321.46,946.06,721.46,326.17,279.06,366.28,18.51,19.92,427.69,272.05,317.02,394.27,312.36,284.49
Jun-97,325.71,967.36,736.39,330.64,284,372.67,18.77,20.31,436.08,271.93,321.82,400.29,314.65,289.47
Jul-97,329.96,992.57,754.26,334.83,290.32,379.38,19.42,20.99,445.29,270.12,327.65,406.33,315.78,295.66
Aug-97,335.99,1028.78,780.46,340.74,299.14,389.46,19.59,21.29,458.89,268.4,336.47,414.96,317.42,304.75
Sep-97,341.66,1057.61,801.08,346.57,306.33,398.29,20.24,22.15,470.32,268.43,343.48,422.81,319.07,311.7
Oct-97,347.72,1087.91,822.74,352.84,313.74,407.71,20.73,22.68,482.58,268.47,350.85,431.15,320.77,318.74
Nov-97,353.33,1112.63,840.19,358.69,320.06,415.83,22.15,23.89,493.04,269.93,356.68,438.5,322.33,324.43
Dec-97,359.8,1136.24,856.72,365.45,325.47,424.71,23.01,24.63,504.34,273.55,362.38,446.77,325,329.26
Jan-98,367.02,1163.32,875.86,373.13,331.19,434.01,23.26,24.9,516.62,277.1,368.37,455.87,327.59,334.47
Feb-98,373.91,1186.52,892.04,380.77,335.9,442.75,23.43,24.97,527.88,281.37,373.49,464.65,330.14,338.54
Mar-98,381.37,1216.94,913.58,388.99,342.36,452.28,23.22,24.64,540.24,285.09,379.65,474.02,331.97,344.34
Apr-98,389.73,1256.94,942.3,398,351.37,463.56,23.39,24.57,555.15,287.7,387.84,484.69,332.99,352.76
May-98,398.11,1293.21,968.17,407.08,359.47,474.85,23.49,24.61,569.63,291.83,395.81,495.42,334.7,360.15
Jun-98,406.38,1321.96,988.38,415.99,365.48,485.27,23.66,24.67,582.57,297.7,402.68,505.58,337.8,365.48
Jul-98,415.66,1351.48,1009.11,426.07,371,496.72,23.51,24.38,596.44,305.66,409.47,516.9,342.12,370.53
Aug-98,422.58,1371.86,1022.97,433.61,374.45,504.16,23.79,24.59,605.44,312.21,413.31,524.89,344.49,373.84
Sep-98,425.05,1379.93,1027.79,437.02,376.78,506.71,25.41,26.29,608.59,315.88,413.99,527.37,345.01,375.93
Oct-98,428.7,1389.45,1033.6,441.88,377.65,510.09,26.92,27.76,612.34,319.37,415.16,531.14,346.05,376.62
Nov-98,434.88,1411.82,1048.94,448.9,380.58,517.55,26.33,27.1,621.44,322.2,419.76,538.3,347.35,379.67
Dec-98,440.12,1437,1066.29,455.05,384.57,523.99,26.21,26.89,630.03,323.51,424.74,544.3,347.91,383.65
Jan-99,446.62,1467.93,1087.86,461.62,390.13,532.61,26.25,26.94,640.93,325.16,431.36,551.91,348.4,389.29
Feb-99,453.75,1503.48,1112.8,468.64,396.76,542.67,26.65,27.34,653.98,326.24,439.3,560.54,349.05,395.82
Mar-99,460.94,1526.64,1128.55,475.59,400.17,551.39,27.42,28.18,664.48,329.96,444.79,568.59,350.47,399.08
Apr-99,468.27,1549.4,1143.94,482.78,403.36,560.1,27.34,28.2,675.37,333.41,450.77,576.66,352.92,401.83
May-99,476.5,1576.59,1162.56,490.91,407.35,569.8,27.67,28.57,687.75,337.39,457.49,585.57,355.13,405.46
Jun-99,484.53,1602.33,1180.14,499,410.98,579.81,28.01,28.86,700.04,341.29,464.07,594.55,357.45,408.7
Jul-99,493.74,1631.33,1200.05,507.88,415.12,591.29,28.12,28.96,714.05,345.89,471.32,604.74,359.92,412.55
Aug-99,502.51,1656.79,1217.38,516.47,418.5,602.52,28.11,28.92,727.58,350.7,478.45,614.59,363.1,415.53
Sep-99,516,1699.73,1247.65,529.32,423.92,619.5,26.46,27,748.52,356.32,490.65,630.52,368.37,420.56
Oct-99,527.05,1731.63,1269.79,539.74,428.6,633.07,25.16,25.74,765.04,362.72,499.81,643.27,372.96,424.76
Nov-99,536.21,1763.48,1291.81,549.02,432.94,644.06,24.67,25.41,779.4,367.28,507.66,653.84,377.25,428.82
Dec-99,544.46,1790.97,1310.58,557.49,435.75,653.52,24.52,25.4,791.59,372.17,513.65,663.19,381.12,431.94
Jan-00,553.09,1820.26,1330.58,566.31,438.91,663.2,24.54,25.51,804.21,377.42,519.91,672.79,385.1,435.3
Feb-00,559.56,1835.26,1340.15,573.78,439.16,669.34,24.43,25.33,811.61,383.72,522.74,679.33,389.04,435.75
Mar-00,564.89,1851.73,1350.83,580.92,439.75,674.94,24.05,25,818.75,387.96,525.82,685.18,393.46,436.41
Apr-00,572.06,1877.95,1368.51,589.06,441.69,683.45,24.13,25.23,829.83,392.47,530.65,693.88,397.75,439.22
May-00,577.38,1893.32,1378.28,595.75,441.72,689.18,24.22,25.46,836.93,395.77,532.99,700.44,402.33,439.72
Jun-00,583.02,1908.84,1388.18,603.46,441.84,694.75,24.07,25.48,844.13,398.96,535.1,707.39,407.34,440.08
Jul-00,587.06,1920.18,1395,609.91,441.1,698.51,23.95,25.58,850.08,400.2,536.88,712.63,412.37,439.66
Aug-00,592.67,1933.78,1403.51,617.75,440.79,703.8,23.62,25.38,857.72,403.71,539.02,719.27,418.11,439.47
Sep-00,600.93,1958.38,1419.95,628.19,442.83,712.95,22.99,24.88,870.11,409.77,543.19,729.37,424.72,442.01
Oct-00,608.13,1977.86,1432.77,638.06,443.96,720.13,22.58,24.63,880.22,416.22,546.08,737.9,431.32,443.66
Nov-00,614.44,1987.36,1438.31,645.99,443.72,725.87,22.7,24.92,887.68,422.41,547.81,745.08,436.85,443.79
Dec-00,619.39,1980.64,1432.14,653.34,442.15,729.06,23.16,25.58,890.63,429.39,547.11,750.21,443.19,440.37
1-Jan,623.05,1965.31,1419.73,659.98,438.65,730.21,23.34,25.87,890.71,435.76,544.43,753.79,450.16,434.9
1-Feb,629.24,1963.87,1417.36,668.71,437.7,735.05,23.1,25.87,895.73,442.19,544.5,760.41,457.48,432.18
1-Mar,632.56,1951,1406.82,674.64,434.81,736.2,23.51,26.33,895.83,447.32,541.76,763.76,463.78,427.83
1-Apr,630.6,1913.65,1378.63,675.89,428.25,730.29,23.89,26.88,886.31,452.44,533.68,760.22,467.2,419.37
1-May,630.12,1891.97,1361.72,678.41,424.73,727.14,23.83,26.82,882.33,456.41,528.68,758.66,470.44,414.34
1-Jun,629.88,1874.69,1347.99,679.94,422.36,724.95,23.75,26.77,880.32,459.65,525.05,757.26,473.54,410.55
1-Jul,627.88,1849.81,1328.81,679.45,418.31,720.41,23.71,26.72,874.59,462.2,519.79,753.8,475.59,405.19
1-Aug,626.75,1826.15,1310.51,679.89,414.59,716.56,23.78,26.75,869.29,465.1,514.94,751.55,478.04,399.83
1-Sep,620.77,1783.38,1278.5,676.45,407.48,706.04,24.45,27.47,855.66,465,505.36,743.51,479.56,390.65
1-Oct,610.58,1739.16,1245.54,666.13,403.85,692.41,25.4,28.41,839.16,461.6,495.09,730.96,477.22,384.59
1-Nov,601.36,1697.97,1214.73,657.66,401.45,680.04,26.23,29.19,824.67,459.84,485.65,719.67,476.41,378.9
1-Dec,595.24,1679.35,1200.11,651.55,402.5,673.01,25.74,28.62,817.83,457.12,480.99,712.77,475.17,377.85
2-Jan,589.44,1661.15,1185.76,645.44,403.81,666.16,25.49,28.04,811.42,455.83,476.61,706,473.19,377.16
2-Feb,582.21,1635.55,1166.11,637.89,403.57,656.4,25.41,27.92,801.67,454.32,470.46,697.38,470.95,374.88
2-Mar,578.04,1621.84,1155.01,633.12,405.32,650.35,24.85,27.26,797.06,455.15,467.09,692.05,469.31,374.54
2-Apr,577.92,1622.16,1153.93,632.14,408.94,649.33,23.91,26.05,798.46,456.65,467.02,691.63,470.8,376.12
